MYA	WAD
699.7044	11.1282
699.9788	11.1282
700.255	11.1837
700.5295	11.1836
700.804	11.1835
701.0785	11.1835
701.3546	11.2389
701.6291	11.2389
701.9036	11.2388
702.1797	11.2943
702.4542	11.2942
702.7287	11.2942
703.0048	11.3497
703.2793	11.3496
703.5537	11.3495
703.8298	11.405
704.1044	11.405
704.3789	11.4049
704.6534	11.4048
704.9294	11.4603
705.204	11.4603
705.4785	11.4602
705.753	11.4601
706.0275	11.4601
706.302	11.46
706.5781	11.5154
706.8526	11.5154
707.1271	11.5152
707.4016	11.5152
707.6762	11.5152
707.9506	11.5151
708.2267	11.5706
708.5011	11.5706
708.7758	11.5705
709.0503	11.5704
709.3248	11.5704
709.5993	11.5703
709.8754	11.6258
710.1499	11.6257
710.4243	11.6257
710.6989	11.6256
710.9735	11.6255
711.248	11.6255
711.524	11.6808
711.7985	11.6808
712.0731	11.6808
712.3476	11.6806
712.6221	11.6806
712.8965	11.6806
713.1711	11.6804
713.4457	11.6804
713.7202	11.6804
713.9947	11.6803
714.2692	11.6803
714.5436	11.6802
714.8197	11.7357
715.0943	11.7356
715.3688	11.7356
715.6433	11.7355
715.9179	11.7354
716.1924	11.7354
716.4668	11.7353
716.7429	11.7908
717.0175	11.7907
717.292	11.7907
717.5665	11.7906
717.841	11.7905
718.1155	11.7905
718.3901	11.7904
718.6646	11.7903
718.9391	11.7903
719.2136	11.7902
719.4881	11.7901
719.7627	11.7901
720.0372	11.79
720.3117	11.7899
720.5862	11.7899
720.8607	11.7898
721.1353	11.7896
721.4098	11.7896
721.6843	11.7896
721.9588	11.7894
722.2333	11.7894
722.5079	11.7894
722.7824	11.7893
723.0569	11.7893
723.3314	11.7892
723.6059	11.7891
723.8805	11.7891
724.155	11.789
724.4295	11.7889
724.704	11.7889
724.9785	11.7888
725.253	11.7887
725.5276	11.7887
725.8021	11.7886
726.0766	11.7885
726.3511	11.7885
726.6257	11.7884
726.9002	11.7883
727.1747	11.7883
727.4492	11.7882
727.7237	11.7881
727.9982	11.7881
728.2728	11.788
728.5473	11.7879
728.8218	11.7879
729.0963	11.7877
729.3708	11.7877
729.6454	11.7877
729.9199	11.7875
730.1944	11.7875
