time	diversity	m_div	M_div
634.284490587	0.02	0	1
634.384509176	0.02	0	1
634.484527765	0.02	0	1
634.584546354	0.02	0	1
634.684564943	0.02	0	1
634.784583532	0.02	0	1
634.88460212	0.02	0	1
634.984620709	0.02	0	1
635.084639298	0.02	0	1
635.184657887	0.02	0	1
635.284676476	0.02	0	1
635.384695065	0.02	0	1
635.484713653	0.02	0	1
635.584732242	0.02	0	1
635.684750831	0.02	0	1
635.78476942	0.02	0	1
635.884788009	0.02	0	1
635.984806598	0.02	0	1
636.084825186	0.02	0	1
636.184843775	0.02	0	1
636.284862364	0.02	0	1
636.384880953	0.02	0	1
636.484899542	0.02	0	1
636.584918131	0.02	0	1
636.684936719	0.02	0	1
636.784955308	0.02	0	1
636.884973897	0.02	0	1
636.984992486	0.02	0	1
637.085011075	0.02	0	1
637.185029664	0.02	0	1
637.285048252	0.02	0	1
637.385066841	0.02	0	1
637.48508543	0.02	0	1
637.585104019	0.02	0	1
637.685122608	0.02	0	1
637.785141197	0.02	0	1
637.885159786	0.02	0	1
637.985178374	0.02	0	1
638.085196963	0.02	0	1
638.185215552	0.02	0	1
638.285234141	0.02	0	1
638.38525273	0.02	0	1
638.485271319	0.02	0	1
638.585289907	0.02	0	1
638.685308496	0.02	0	1
638.785327085	0.02	0	1
638.885345674	0.02	0	1
638.985364263	0.02	0	1
639.085382852	0.02	0	1
639.18540144	0.02	0	1
639.285420029	0.02	0	1
639.385438618	0.02	0	1
639.485457207	0.02	0	1
639.585475796	0.02	0	1
639.685494385	0.02	0	1
639.785512973	0.02	0	1
639.885531562	0.02	0	1
639.985550151	0.02	0	1
640.08556874	0.02	0	1
640.185587329	0.02	0	1
640.285605918	0.02	0	1
640.385624506	0.02	0	1
640.485643095	0.02	0	1
640.585661684	0.02	0	1
640.685680273	0.02	0	1
640.785698862	0.02	0	1
640.885717451	0.02	0	1
640.985736039	0.02	0	1
641.085754628	0.02	0	1
641.185773217	0.02	0	1
641.285791806	0.02	0	1
641.385810395	0.02	0	1
641.485828984	0.02	0	1
641.585847573	0.02	0	1
641.685866161	0.02	0	1
641.78588475	0.02	0	1
641.885903339	0.02	0	1
641.985921928	0.02	0	1
642.085940517	0.02	0	1
642.185959106	0.02	0	1
642.285977694	0.02	0	1
642.385996283	0.02	0	1
642.486014872	0.02	0	1
642.586033461	0.02	0	1
642.68605205	0.02	0	1
642.786070639	0.02	0	1
642.886089227	0.02	0	1
642.986107816	0.02	0	1
643.086126405	0.02	0	1
643.186144994	0.02	0	1
643.286163583	0.02	0	1
643.386182172	0.02	0	1
643.48620076	0.02	0	1
643.586219349	0.02	0	1
643.686237938	0.02	0	1
643.786256527	0.02	0	1
643.886275116	0.02	0	1
643.986293705	0.02	0	1
644.086312293	0.02	0	1
644.186330882	0.02	0	1
644.286349471	0.02	0	1
644.38636806	0.02	0	1
644.486386649	0.02	0	1
644.586405238	0.02	0	1
644.686423827	0.02	0	1
644.786442415	0.02	0	1
644.886461004	0.02	0	1
644.986479593	0.02	0	1
645.086498182	0.02	0	1
645.186516771	0.02	0	1
645.28653536	0.02	0	1
645.386553948	0.02	0	1
645.486572537	0.02	0	1
645.586591126	0.02	0	1
645.686609715	0.02	0	1
645.786628304	0.02	0	1
645.886646893	0.02	0	1
645.986665481	0.02	0	1
646.08668407	0.02	0	1
646.186702659	0.02	0	1
646.286721248	0.02	0	1
646.386739837	0.02	0	1
646.486758426	0.02	0	1
646.586777014	0.02	0	1
646.686795603	0.02	0	1
646.786814192	0.02	0	1
646.886832781	0.02	0	1
646.98685137	0.02	0	1
647.086869959	0.02	0	1
647.186888547	0.02	0	1
647.286907136	0.02	0	1
647.386925725	0.02	0	1
647.486944314	0.02	0	1
647.586962903	0.02	0	1
647.686981492	0.02	0	1
647.787000081	0.02	0	1
647.887018669	0.02	0	1
647.987037258	0.02	0	1
648.087055847	0.02	0	1
648.187074436	0.02	0	1
648.287093025	0.02	0	1
648.387111614	0.02	0	1
648.487130202	0.02	0	1
648.587148791	0.02	0	1
648.68716738	0.02	0	1
648.787185969	0.02	0	1
648.887204558	0.02	0	1
648.987223147	0.02	0	1
649.087241735	0.02	0	1
649.187260324	0.02	0	1
649.287278913	0.02	0	1
649.387297502	0.02	0	1
649.487316091	0.02	0	1
649.58733468	0.02	0	1
649.687353268	0.02	0	1
649.787371857	0.02	0	1
649.887390446	0.02	0	1
