Species	Status	min_age	max_age
Hudsonospongia_minganensis	extinct	457.5	466
Hudsonospongia_irregularis	extinct	457.5	466
Zittelella_varians	extinct	457.5	466
Zittelella_grossa	extinct	457.5	466
Psarodictyum_magnificum	extinct	457.5	466
Rhopalocoelia_clarkii	extinct	457.5	466
Lissocoelia_ramosa	extinct	457.5	466
Anthaspidella_amplia	extinct	457.5	466
Hudsonospongia_minganensis	extinct	457.5	466
Hudsonospongia_nodosa	extinct	457.5	466
Rhopalocoelia_clarkii	extinct	457.5	466
Lissocoelia_ramosa	extinct	457.5	466
Stromatomorpha	extinct	228	237
Stromatomorpha	extinct	228	237
Jerea	extinct	157.3	163.5
Cnemidiastrum	extinct	157.3	163.5
Jerea	extinct	157.3	163.5
Cnemidiastrum	extinct	157.3	163.5
Cylindrophyma	extinct	157.3	166.1
Bathotheca	extinct	155.7	161.2
Cnemidiastrum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Lithistida	extinct	157.3	163.5
Shuqraiopsis	extinct	145	152.1
Eustrobilus	extinct	145	152.1
Eustrobilus	extinct	132.9	139.8
Shuqraiopsis	extinct	132.9	139.8
Lithistida	extinct	145	152.1
Lithistida	extinct	189.6	196.5
Lithistida	extinct	168.3	170.3
Lithistida	extinct	155.7	161.2
Platychonia	extinct	152.1	157.3
Platychonia	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	152.1	157.3
Hyalotragos	extinct	152.1	157.3
Lithistida	extinct	155.7	161.2
Lithistida	extinct	152.1	157.3
Stromatomorpha	extinct	145	163.5
Lithistida	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Lithistida	extinct	155.7	161.2
Platychonia	extinct	150.8	155.7
Cylindrophyma	extinct	150.8	155.7
Platychonia	extinct	150.8	155.7
Cylindrophyma	extinct	150.8	155.7
Hyalotragos	extinct	150.8	155.7
Hyalotragos	extinct	150.8	155.7
Cylindrophyma	extinct	150.8	155.7
Platychonia	extinct	150.8	155.7
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Lecanella	extinct	155.7	161.2
Cnemidiastrum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Lecanella	extinct	155.7	161.2
Archaeoscyphia_minganensis	extinct	468.1	478.6
Verrucospongia	extinct	232	235
Polyierea_(Thecosiphonia)	extinct	72.1	83.6
Jerea	extinct	83.6	89.8
Schrammeniella_cylindratum	extinct	83.6	89.8
Sontheimia_parasitica	extinct	155.7	161.2
Sontheimia_perforata	extinct	155.7	161.2
Callopegma_plana	extinct	155.7	161.2
Chonellopsis_striata	extinct	155.7	161.2
