Ma	percentO2
17.2394	24.6545
16.5453	24.5944
15.8515	24.5342
15.1575	24.4741
14.4635	24.414
13.7696	24.3538
13.0756	24.2938
12.3817	24.2337
11.6877	24.1736
10.9937	24.1134
10.3019	23.9927
9.6058	23.9931
8.914	23.8725
8.22	23.8124
7.526	23.7523
6.8321	23.6921
6.1381	23.632
5.4441	23.5718
4.7523	23.4512
4.0562	23.4517
3.3644	23.331
2.6703	23.2708
1.9764	23.2107
1.2825	23.1506
0.5885	23.0905
-0.1055	23.0304
-0.7973	22.9097
-1.4934	22.9101
-2.1852	22.7894
-2.8792	22.7292
-3.5732	22.6692
-4.2671	22.6091
