Ma	PAL
206.7704	1.1497
206.3463	1.1497
205.9222	1.1497
205.4982	1.1497
205.0712	1.1519
204.6471	1.1519
204.223	1.1519
203.799	1.1519
203.3749	1.1518
202.9508	1.1518
202.5268	1.1518
202.1027	1.1518
201.6785	1.1517
201.2545	1.1517
200.8305	1.1517
200.4064	1.1517
199.9823	1.1517
199.5582	1.1516
199.1342	1.1516
198.7101	1.1516
198.286	1.1516
197.862	1.1516
197.4379	1.1515
197.0109	1.1538
196.5868	1.1538
196.1628	1.1538
195.7387	1.1537
195.3146	1.1537
194.8904	1.1537
194.4665	1.1537
194.0424	1.1536
193.6183	1.1536
193.1942	1.1536
192.7702	1.1536
192.3461	1.1536
191.9191	1.1558
191.495	1.1558
191.071	1.1558
190.644	1.158
190.2199	1.158
189.7959	1.158
189.3689	1.1602
188.9447	1.1602
188.5178	1.1625
188.0908	1.1648
187.6639	1.167
187.2398	1.167
186.8128	1.1693
186.3858	1.1715
185.9618	1.1715
185.5348	1.1738
185.1078	1.176
184.6808	1.1783
184.2568	1.1783
183.8298	1.1804
183.8269	1.1828
183.3999	1.1851
182.9729	1.1873
182.5459	1.1896
182.1219	1.1896
181.6978	1.1895
181.2708	1.1918
180.8437	1.1941
180.8409	1.1964
180.4169	1.1963
180.414	1.1985
179.987	1.2009
179.56	1.2031
179.5571	1.2054
179.133	1.2054
178.7061	1.2077
178.282	1.2076
177.855	1.2099
177.428	1.2122
177.004	1.2121
176.577	1.2144
176.1529	1.2144
175.7259	1.2166
175.3019	1.2166
174.8749	1.2189
174.4508	1.2189
174.0238	1.2211
173.5998	1.2211
173.1757	1.2211
172.7487	1.2233
172.3246	1.2233
171.9005	1.2233
171.4736	1.2256
171.0495	1.2255
170.6225	1.2278
170.1985	1.2278
169.7744	1.2278
169.3474	1.23
168.9233	1.23
168.4964	1.2323
168.0723	1.2322
167.6453	1.2345
167.2212	1.2345
166.7943	1.2367
166.3702	1.2367
165.9461	1.2367
165.5191	1.2389
