Ma	PAL
338.0413	0.9737
338.0384	0.976
338.0355	0.9783
338.0326	0.9806
338.0297	0.9828
338.0268	0.9851
338.0238	0.9874
338.0209	0.9897
337.5939	0.992
337.5911	0.9942
337.5882	0.9965
337.1612	0.9988
337.1583	1.0011
337.1554	1.0033
337.1525	1.0056
336.7255	1.0079
336.7226	1.0102
336.7197	1.0125
336.7168	1.0147
336.2898	1.017
336.2869	1.0193
336.284	1.0216
336.2811	1.0238
336.2782	1.0261
336.2753	1.0284
335.8483	1.0307
335.8454	1.033
335.8425	1.0352
335.8396	1.0375
335.8367	1.0398
335.8338	1.0421
335.4068	1.0444
335.4039	1.0466
335.401	1.0489
335.3981	1.0512
335.3952	1.0535
334.9682	1.0557
334.9653	1.058
334.9624	1.0603
334.9595	1.0626
334.9566	1.0649
334.5295	1.0671
334.5267	1.0694
334.5238	1.0717
334.0968	1.074
334.0939	1.0762
334.091	1.0785
334.0881	1.0808
333.6611	1.0831
333.6582	1.0854
333.6553	1.0876
333.2283	1.0899
333.2254	1.0922
333.2225	1.0945
333.2196	1.0968
333.2167	1.099
332.7896	1.1013
332.7868	1.1036
332.7839	1.1059
332.781	1.1081
332.3541	1.1104
332.3511	1.1127
332.3482	1.115
331.9213	1.1172
331.4971	1.1172
331.4943	1.1195
331.0673	1.1218
331.0644	1.124
330.6402	1.124
330.6374	1.1263
330.6345	1.1286
330.6316	1.1309
330.6287	1.1332
330.6258	1.1354
330.6229	1.1377
330.62	1.14
330.193	1.1423
330.1901	1.1445
329.7631	1.1468
329.3362	1.1491
329.3333	1.1514
329.3304	1.1536
329.3274	1.1559
329.3245	1.1582
328.8976	1.1605
328.8947	1.1627
328.8918	1.165
328.4647	1.1673
328.4619	1.1696
328.0349	1.1718
328.032	1.1741
328.0291	1.1764
327.6021	1.1787
327.5992	1.1809
327.1722	1.1832
327.1693	1.1855
326.7423	1.1877
326.3154	1.19
326.3125	1.1923
326.3096	1.1945
326.3067	1.1969
325.8797	1.1991
325.8768	1.2014
325.4498	1.2037
325.0228	1.2059
325.0199	1.2082
324.5929	1.2105
324.5899	1.2128
324.5871	1.215
324.1602	1.2173
323.7332	1.2196
323.7303	1.2218
323.3033	1.2241
322.8763	1.2264
322.4493	1.2286
322.0224	1.2309
322.0195	1.2332
321.5925	1.2354
321.1684	1.2354
320.7414	1.2377
320.3144	1.2399
319.8875	1.2422
319.8846	1.2445
319.4576	1.2467
319.0306	1.249
318.6065	1.249
318.1796	1.2511
317.7526	1.2535
317.3285	1.2535
316.9043	1.2535
316.4804	1.2534
316.0534	1.2557
315.6293	1.2557
315.6263	1.258
315.1994	1.2602
314.7725	1.2625
314.3484	1.2625
313.9214	1.2647
313.4944	1.267
313.0704	1.267
312.6434	1.2692
312.2164	1.2715
311.7894	1.2738
311.3653	1.2737
311.3624	1.276
310.9384	1.276
310.5143	1.276
310.0902	1.2759
309.6662	1.2759
309.2392	1.2782
308.8122	1.2805
308.3881	1.2804
307.9641	1.2804
307.5371	1.2827
307.1101	1.2849
306.686	1.2849
306.259	1.2872
305.835	1.2871
305.8321	1.2894
305.408	1.2894
304.9809	1.2917
304.554	1.2939
304.13	1.2939
303.7059	1.2939
303.2818	1.2939
302.8548	1.2961
302.4279	1.2984
302.0038	1.2984
301.5768	1.3006
301.1527	1.3006
300.7287	1.3006
300.3046	1.3006
299.8776	1.3028
299.8747	1.3051
299.4506	1.3051
299.4477	1.3074
299.0237	1.3074
298.5996	1.3073
298.1726	1.3096
297.7485	1.3096
297.3216	1.3118
297.3187	1.3141
296.8946	1.3141
296.8917	1.3164
296.4647	1.3186
296.4618	1.3209
296.0348	1.3232
295.6078	1.3254
295.6049	1.3277
295.1809	1.3277
294.7568	1.3277
294.3298	1.3299
294.3269	1.3322
293.8999	1.3345
293.897	1.3368
293.4729	1.3368
293.4701	1.339
293.0431	1.3413
293.0402	1.3436
292.6132	1.3458
292.6103	1.3481
292.6074	1.3504
292.6045	1.3527
292.1804	1.3527
291.7534	1.3549
291.7505	1.3572
291.3235	1.3595
290.8965	1.3617
290.8937	1.3639
290.4667	1.3663
290.4638	1.3686
290.0397	1.3685
289.6127	1.3708
289.6098	1.3731
289.1829	1.3753
288.7559	1.3776
288.3289	1.3799
288.326	1.3822
287.899	1.3844
287.472	1.3867
287.048	1.3867
286.621	1.3889
286.6181	1.3912
286.1911	1.3935
285.7641	1.3957
285.3401	1.3957
284.916	1.3957
284.4919	1.3957
284.0678	1.3956
283.6438	1.3956
283.2226	1.3933
282.7985	1.3933
282.3774	1.391
281.9562	1.3887
281.959	1.3864
281.962	1.3841
281.5408	1.3818
281.5436	1.3795
281.5466	1.3772
281.5495	1.375
281.5524	1.3727
281.1313	1.3704
281.1342	1.3681
281.1371	1.3658
281.14	1.3635
280.7187	1.3612
280.7217	1.3589
280.7246	1.3567
280.7275	1.3544
280.7304	1.3521
280.3093	1.3498
280.3122	1.3475
280.3151	1.3452
280.318	1.3429
280.3209	1.3407
279.8997	1.3383
279.9026	1.3361
279.9055	1.3338
279.9083	1.3315
279.4873	1.3292
279.4902	1.3269
279.4931	1.3246
279.0719	1.3223
278.6507	1.32
278.2296	1.3176
278.2325	1.3154
278.2354	1.3132
277.8142	1.3108
277.3901	1.3108
277.393	1.3085
277.3959	1.3063
277.3989	1.304
277.4018	1.3017
277.4047	1.2993
277.4076	1.2971
276.9864	1.2948
276.9893	1.2925
276.9922	1.2903
276.571	1.288
276.5739	1.2857
276.5768	1.2833
276.5798	1.2811
276.5827	1.2788
276.5856	1.2765
276.5885	1.2743
276.5914	1.272
276.5943	1.2697
276.1731	1.2674
276.176	1.2651
276.1789	1.2628
276.1818	1.2605
276.1847	1.2583
275.7607	1.2582
275.7635	1.2559
275.7665	1.2537
275.7694	1.2514
275.3482	1.249
275.3511	1.2468
274.9299	1.2445
274.9327	1.2422
274.5117	1.2399
274.5146	1.2376
274.5175	1.2353
274.5204	1.2331
274.0992	1.2308
274.1021	1.2285
273.678	1.2284
273.681	1.2262
273.6839	1.2239
273.2627	1.2216
273.2656	1.2193
273.2685	1.217
272.8473	1.2147
272.8502	1.2124
272.8531	1.2101
272.8559	1.2079
272.4349	1.2056
272.4378	1.2033
272.4407	1.201
272.4436	1.1987
272.0224	1.1964
272.0253	1.1941
271.6013	1.1941
271.6042	1.1918
271.183	1.1895
270.7618	1.1872
270.7647	1.1849
270.3436	1.1826
270.3465	1.1803
269.9253	1.178
269.9282	1.1757
269.507	1.1734
269.5099	1.1712
269.0888	1.1689
269.0917	1.1666
269.0946	1.1643
268.6734	1.162
268.2522	1.1597
267.8282	1.1597
267.407	1.1574
266.9858	1.155
266.5647	1.1527
266.1435	1.1504
265.7223	1.1481
265.3012	1.1458
264.88	1.1435
264.4559	1.1435
264.0347	1.1412
263.6136	1.1389
263.1895	1.1389
262.7654	1.1389
262.3414	1.1388
261.9202	1.1365
261.4961	1.1365
261.072	1.1365
260.648	1.1365
260.2239	1.1364
259.7997	1.1364
259.3758	1.1364
258.9517	1.1364
258.5276	1.1364
258.1035	1.1363
257.6795	1.1363
257.2525	1.1386
256.8284	1.1386
256.4043	1.1385
255.9774	1.1408
255.5533	1.1408
255.1292	1.1408
254.705	1.1407
254.7022	1.143
254.2753	1.1453
253.8512	1.1453
253.4242	1.1475
253.0001	1.1475
252.576	1.1475
252.1491	1.1497
251.725	1.1497
251.7221	1.152
251.298	1.152
250.8711	1.1542
250.8681	1.1565
250.4412	1.1588
250.0171	1.1588
249.5901	1.161
249.1661	1.161
248.742	1.161
248.315	1.1632
247.8909	1.1632
247.464	1.1655
247.037	1.1677
247.0341	1.17
246.6099	1.17
246.183	1.1723
245.7589	1.1722
245.3378	1.1699
244.9165	1.1676
244.4954	1.1653
244.0743	1.163
243.6531	1.1607
243.229	1.1607
242.8079	1.1584
242.3867	1.1561
242.3896	1.1538
241.9684	1.1515
241.9713	1.1492
241.9742	1.1469
241.5531	1.1446
241.556	1.1423
241.1348	1.14
240.7136	1.1377
240.7165	1.1355
240.7195	1.1332
240.7224	1.1309
240.7252	1.1286
