Ma	percentO2
37.5943	19.7915
36.8961	19.8527
35.4997	19.9748
34.8014	20.036
33.4031	20.2187
32.7048	20.2799
31.3064	20.4627
30.6103	20.4632
29.9121	20.5243
28.5158	20.6465
27.8197	20.647
26.4276	20.648
25.7315	20.6484
24.3393	20.6495
23.6412	20.7106
22.943	20.7717
21.5508	20.7726
20.8527	20.8336
19.4605	20.8347
18.7644	20.8352
17.3702	20.8968
16.6741	20.8973
15.978	20.8978
14.5859	20.8988
13.8898	20.8993
12.4935	21.0215
11.7974	21.022
10.4052	21.0229
9.7092	21.0234
9.011	21.0845
8.3149	21.085
7.6188	21.0855
6.9228	21.086
6.2246	21.1471
5.5285	21.1476
4.8303	21.2086
4.1343	21.2092
3.4382	21.2097
2.7379	21.3314
2.0418	21.3319
1.3457	21.3324
0.6476	21.3935
-0.0506	21.4546
-1.4491	21.6374
-2.1473	21.6985
